Reference, Value, Footprint, Datasheet, LCSC, Digi-Key, MFN, MPN
"C1","4.7uF","Capacitor_SMD:C_0603_1608Metric","","C19666","","",""
"C2","100nF","Capacitor_SMD:C_0402_1005Metric","","C1525","","",""
"C3","100nF","Capacitor_SMD:C_0402_1005Metric","","C1525","","",""
"C4","100nF","Capacitor_SMD:C_0402_1005Metric","","C1525","","",""
"C5","22pF","Capacitor_SMD:C_0402_1005Metric","","C1555","","",""
"C6","22pF","Capacitor_SMD:C_0402_1005Metric","","C1555","","",""
"C7","1uF","Capacitor_SMD:C_0603_1608Metric","","C15849","","",""
"D1","Red","LED_SMD:LED_0603_1608Metric","","C965799","","",""
"GPIB1","112-024-113R001","gpib:112024113R001","http://www.norcomp.net/rohspdfs/SCSI-050Ribbon/11Y/112/112-YYY-113R001.pdf","","1024RMA-ND","NorComp","112-024-113R001"
"ISP1","ISP","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical"," ~"
"J1","USB_C_Receptacle_USB2.0","HRS_USB:CX90M-16P","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","C2889324","CX90M-16P","Hirose","CX90M-16P"
"R1","10kΩ","Resistor_SMD:R_0402_1005Metric","","C25744","","",""
"R2","22Ω","Resistor_SMD:R_0402_1005Metric","","C25092","","",""
"R3","22Ω","Resistor_SMD:R_0402_1005Metric","","C25092","","",""
"R4","470Ω","Resistor_SMD:R_0402_1005Metric","","C25117","","",""
"R5","100kΩ","Resistor_SMD:R_0402_1005Metric","","C25741","","",""
"R6","5.1kΩ","Resistor_SMD:R_0402_1005Metric","","C25905","","",""
"R7","5.1kΩ","Resistor_SMD:R_0402_1005Metric","","C25905","","",""
"U1","ATmega32U4-MU","Package_DFN_QFN:QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-7766-8-bit-AVR-ATmega16U4-32U4_Datasheet.pdf","C112161","ATMEGA32U4-MU-ND","Microchip","ATMEGA32U4-MU"
"Y1","16MHz","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","","C13738","","",""
